Jaar;Maand;Prijsindex ((2015=100));Verandering t.o.v. jaar eerder (%)
2021;april;109,4;11,2
2021;mei;111,7;12,8
2021;juni;113,7;14,5
2021;juli;116,4;16,1
2021;augustus;118,9;17,6
2021;september;120,7;18,3
2021;oktober;121,8;18,2
2021;november;124;20
2021;december;123,7;20,2
2022;januari;127,4;20,9
2022;februari;127,9;20
2022;maart;129,3;19,4
2022;april;130,7;19,6
2022;mei;132,3;18,4
2022;juni;132,4;16,4
2022;juli;132,9;14,2
2022;augustus;132,7;11,6
2022;september;131,7;9,1
2022;oktober;130,9;7,5
2022;november;129,6;4,5
2022;december;126,5;2,2
2023;januari;128,2;0,7
2023;februari;126,4;-1,2
2023;maart;125,9;-2,6
2023;april;124,6;-4,7
2023;mei;124,6;-5,8
2023;juni;124,9;-5,7
2023;juli;125,6;-5,5
2023;augustus;126,4;-4,7
2023;september;127,2;-3,4
2023;oktober;128,1;-2,1
2023;november;128,7;-0,6
2023;december;129;1,9
2024;januari;130,5;1,8
2024;februari;131,8;4,3
2024;maart;132,7;5,4
2024;april;133,9;7,5
2024;mei;135,4;8,6
2024;juni;137,1;9,7
2024;juli;139;10,6
2024;augustus;140,5;11,2
2024;september;141,7;11,4
2024;oktober;142,8;11,5
2024;november;144,1;11,9
2024;december;143,1;11
2025;januari;145,5;11,5
2025;februari;145,7;10,6
2025;maart;146,7;10,6
2025;april;147,6;10,2
2025;mei;148,5;9,7
2025;juni;149,8;9,3
2025;juli;150,9;8,6
2025;augustus;151,6;7,9
2025;september;151,6;7
2025;oktober;152,3;6,6
2025;november;152,8;6,1
2025;december;151,4;5,8
2026;januari;153,3;5,4
2026;februari;153,5;5,4
2026;maart;154;5
2026;april;154;4,3
